city,N,dist,improver,strategy,cf,sl_var,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Figueira da Foz,350,Empirical,CLS,LA,,,BPC,38.0,112198.0,5402.0,86.5,10977.951399999996,10.22030394486899,101182.04860000001,54512.0212,5405.740326759995,46
Figueira da Foz,350,Empirical,CLS,LA,,,PG-CLNS,9.0,112972.0,12196.0,21.499999999999993,14037.2058,8.048040444060456,98925.7942,51904.5506,9502.947957208999,44
Figueira da Foz,350,Empirical,FTSP,LA,,,ACO_HH,29.0,114316.5,7374.0,92.5,14271.1334,8.010330840296119,100016.3666,52455.40765,2427.8300258359995,47
Figueira da Foz,350,Empirical,FTSP,LA,,,BPC,38.0,112198.0,5402.0,86.5,12220.4141,9.181194604526535,99939.5859,53269.5585,5287.896739342003,46
Figueira da Foz,350,Empirical,FTSP,LA,,,SWC-TCF,41.0,111350.0,7360.0,106.0,14248.9857,7.814591322103721,97060.0143,50746.0093,3390.0223343889993,51
Figueira da Foz,350,Empirical,CLS,LM,CF70,,BPC,8.0,114022.0,9354.0,30.0,13067.670199999997,8.72550334182753,100946.3298,53486.97119999998,5776.034947017,48
Figueira da Foz,350,Empirical,CLS,LM,CF70,,HGS,15.0,113038.5,8682.0,45.49999999999999,16608.901599999997,6.805898591150664,96414.5984,49371.670849999995,13729.50544058,89
Figueira da Foz,350,Empirical,CLS,LM,CF70,,PG-CLNS,9.0,114049.0,12788.0,32.5,14324.340099999998,7.96190255214619,99715.6599,52246.0612,10887.464885502995,46
Figueira da Foz,350,Empirical,CLS,LM,CF90,,BPC,63.0,109710.0,5691.0,228.5,10396.474199999997,10.552616001297828,99250.5258,53641.2528,5003.036354407999,44
Figueira da Foz,350,Empirical,CLS,LM,CF90,,HGS,150.0,112214.0,7307.0,538.5,13748.325999999997,8.16201186966326,98315.674,51750.985799999995,12617.598057812,77
Figueira da Foz,350,Empirical,CLS,LM,CF90,,PG-CLNS,47.0,114188.0,10278.0,278.0,12285.465199999999,9.294560534834286,101855.5348,54366.07039999999,7259.010371492001,34
Figueira da Foz,350,Empirical,FTSP,LM,CF70,,BPC,8.0,114022.0,9354.0,30.0,14644.9279,7.785767248468324,99369.0721,51909.71349999999,5081.535064596006,48
Figueira da Foz,350,Empirical,FTSP,LM,CF90,,BPC,63.0,109710.0,5691.0,228.5,11544.1888,9.503482825921905,98102.8112,52493.538199999995,4859.6721304179955,44
Figueira da Foz,350,Empirical,CLS,SL,,SL1,ACO_HH,7.0,113969.0,11279.0,7.5,16036.880099999998,7.106681554599888,97925.1199,50486.82519999999,2751.165237747002,59
Figueira da Foz,350,Empirical,CLS,SL,,SL1,BPC,5.0,114158.0,11107.0,9.5,14815.060200000002,7.705537369331783,99337.9398,51818.9644,4966.3185029259985,57
Figueira da Foz,350,Empirical,CLS,SL,,SL1,PG-CLNS,3.0,114175.5,13682.0,3.5000000000000004,15672.8997,7.2848995518040605,98499.6003,50971.339649999994,9318.482099221997,54
Figueira da Foz,350,Empirical,CLS,SL,,SL1,SANS,5.0,114416.5,18664.0,4.5,19665.229900000002,5.8182131905816155,94746.2701,47119.68115000001,16430.218494850997,54
Figueira da Foz,350,Empirical,CLS,SL,,SL2,ACO_HH,0.0,114202.0,15079.0,0.0,21378.21389999999,5.341980416801801,92823.78610000001,45281.4935,4216.459262550001,90
Figueira da Foz,350,Empirical,CLS,SL,,SL2,BPC,1.0,114181.0,16669.0,0.5,21084.04,5.415518088563672,93095.95999999999,45563.40969999999,7777.285346016004,90
Figueira da Foz,350,Empirical,CLS,SL,,SL2,PG-CLNS,1.0,114399.0,18994.0,0.0,21785.141699999996,5.251239655696158,92612.8583,44989.55459999999,13119.538811892999,89
Figueira da Foz,350,Empirical,CLS,SL,,SL2,SANS,0.0,114484.0,31146.0,0.0,32710.815400000047,3.499882182698504,81773.18459999995,34113.4954,24262.719010087007,89
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,ACO_HH,7.0,113979.0,10556.0,6.0,17664.9472,6.452269497867506,96307.0528,48864.595100000006,2449.3153518109903,57
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,BPC,5.0,114158.0,11107.0,9.5,16667.627699999997,6.849085068056807,97485.3723,49966.3969,4495.528517028986,57
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,PG-CLNS,4.0,114162.0,13740.0,4.0,18494.420700000002,6.17278052942745,95663.5793,48141.9387,7902.382750553006,54
Figueira da Foz,350,Empirical,FTSP,SL,,SL1,PSOMA,4.0,114345.5,10581.0,1.0,17929.1016,6.3776480579484245,96412.3984,48814.36675000001,3657.645827330998,54
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,ACO_HH,0.0,114191.5,15118.0,0.0,24022.638999999996,4.753495234224684,90168.861,42630.93954999999,3965.8412798690115,90
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,BPC,1.0,114181.0,16669.0,0.5,24090.1589,4.739736274632875,90089.8411,42557.290799999995,6782.727466278011,90
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,PG-CLNS,1.0,113898.0,18924.0,0.0,25866.897100000002,4.403233969643773,88030.1029,40615.3655,11675.787016763992,89
Figueira da Foz,350,Empirical,FTSP,SL,,SL2,PSOMA,0.0,114052.0,12813.0,0.0,25113.4178,4.541476628481847,88938.5822,41458.73459999999,5977.345847463002,89
Figueira da Foz,350,Gamma-3,CLS,LA,,,BPC,64.0,217586.0584615455,11277.0,324.3814702266328,21674.165100000006,10.038959169022176,195847.8933615455,105330.81722400407,7335.397633059998,64
Figueira da Foz,350,Gamma-3,CLS,LA,,,PG-CLNS,32.0,216822.58833301795,18807.0,189.81545576292564,21932.1198,9.886075322870429,194858.46853301796,104627.22500998256,9462.889996686998,56
Figueira da Foz,350,Gamma-3,FTSP,LA,,,ACO_HH,36.0,216378.95901426574,14904.0,199.80861657662138,24801.6416,8.724380527064215,191541.31741426574,101498.7567766269,3567.9228515239993,67
Figueira da Foz,350,Gamma-3,FTSP,LA,,,BPC,64.0,217586.0584615455,11277.0,324.3814702266328,23873.480499999994,9.114132246512844,193648.5779615455,103131.5018240041,7440.203449797002,64
Figueira da Foz,350,Gamma-3,FTSP,LA,,,SWC-TCF,23886.0,31164.46722134613,2108.0,170796.55258050025,3810.5418,8.178487169815623,3467.925421346131,14380.157717099735,1893.2167501680015,13
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,BPC,60.0,216831.52324868,9884.0,276.6656706447592,18937.864400000006,11.449629095912204,197833.65884867997,107626.69572025452,8766.498033195,87
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,HGS,181.0,215703.7551420298,10221.0,955.5786379590941,30871.8698,6.987064811410606,184650.8853420298,95034.41207640282,15077.520041331998,90
Figueira da Foz,350,Gamma-3,CLS,LM,CF70,,PG-CLNS,27.0,219305.1658693148,20604.0,124.3071581655412,23298.001700000004,9.413046178519025,195980.1641693148,104710.42361791909,10906.75637404,62
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,BPC,238.0,214980.2123250539,6501.0,1323.4014131017784,16471.502999999997,13.051645154971828,198270.7093250539,109012.44693413396,8415.014009443003,86
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,HGS,634.0,212542.16121794732,9685.0,3650.7313353211334,23943.1253,8.87695981852241,187965.0359179473,100117.73420291586,13487.403720837996,89
Figueira da Foz,350,Gamma-3,CLS,LM,CF90,,PG-CLNS,75.0,218995.60599193381,15456.0,449.5915384925615,19290.327199999996,11.352612307785732,199630.27879193382,108537.40801749176,7387.894174340996,45
Figueira da Foz,350,Gamma-3,FTSP,LM,CF70,,BPC,60.0,216831.52324868,9884.0,276.6656706447592,21042.761000000002,10.304328564520596,195728.76224868,105521.79912025447,8751.057836494998,87
Figueira da Foz,350,Gamma-3,FTSP,LM,CF90,,BPC,238.0,214980.2123250539,6501.0,1323.4014131017784,18122.694399999993,11.862486205420646,196619.5179250539,107361.255534134,8737.373350375994,86
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,ACO_HH,31.0,217222.06987590322,16104.0,141.16903716688847,23820.215000000004,9.119232125986402,193370.85487590323,102972.30718656468,3300.030529827003,86
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,BPC,26.0,216828.17901146057,12530.0,125.88607372471381,20587.6185,10.531969931901573,196214.56051146056,105974.98958898954,7671.019288604999,87
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,PG-CLNS,17.0,219357.59131717315,23803.0,86.60373962869845,25722.454900000008,8.527863773887814,193618.13641717314,102316.571151834,10858.655656529998,73
Figueira da Foz,350,Gamma-3,CLS,SL,,SL1,SANS,34.0,219220.024927106,27138.0,179.8919236493528,29695.410699999997,7.3822863452468095,189490.61422710598,98263.31784995183,18680.267771748004,84
Figueira da Foz,350,Gamma-3,CLS,SL,,SL2,ACO_HH,2.0,219317.96474867547,25916.0,1.1410750653821466,28686.308900000004,7.645388101801952,190629.65584867547,99329.58712380187,3435.353341902999,90
Figueira da Foz,350,Gamma-3,CLS,SL,,SL2,BPC,2.0,219403.1143156672,26684.0,1.1410750653821466,29198.944700000004,7.514076846608336,190202.1696156672,98866.65312605494,7902.089058475998,90
Figueira da Foz,350,Gamma-3,CLS,SL,,SL2,PG-CLNS,2.0,219429.4846864446,29206.0,1.1410750653821466,29834.217700000005,7.354960230327896,189593.2669864446,98246.7725114777,12676.742792714998,90
Figueira da Foz,350,Gamma-3,CLS,SL,,SL2,SANS,1.0,219461.01980184636,31327.0,0.0,33133.28300000005,6.623582088193496,186326.7368018463,94966.11425833778,24971.982389324003,90
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL1,ACO_HH,39.0,218792.45809493493,16513.0,208.69217370212485,27000.4235,8.103297272168154,191753.03459493493,100708.7342900135,3180.5804757000005,85
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL1,BPC,26.0,216828.17901146057,12530.0,125.88607372471381,23064.988499999996,9.400749495776276,193737.19051146056,103497.61958898952,6808.148982508006,87
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL1,PG-CLNS,18.0,219336.57014651317,23490.0,93.04687196477663,29806.83650000001,7.3585994322649135,189511.73364651317,98219.91949451977,9586.19346794601,72
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL1,PSOMA,16.0,218927.06417879544,22139.0,73.36070536284768,31270.135200000004,7.001155024708541,187640.92897879542,96517.59216116287,5344.410169069,80
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL2,ACO_HH,2.0,219397.31023241213,25660.0,1.1410750653821466,32684.059800000006,6.712670077552976,186711.2504324121,95378.15018265895,3405.2639945400006,90
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL2,BPC,2.0,219403.1143156672,26684.0,1.1410750653821466,33191.73930000001,6.610172258001169,186209.37501566717,94873.8585260549,7184.472439903999,90
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL2,PG-CLNS,2.0,219429.4846864446,29206.0,1.1410750653821466,35182.411700000004,6.2369085598087235,184245.0729864446,92898.57851147771,11406.323401368994,90
Figueira da Foz,350,Gamma-3,FTSP,SL,,SL2,PSOMA,2.0,219236.30135598342,25107.0,6.1793118067578945,33950.8554,6.457460313532584,185283.44595598342,94017.37370148755,6006.361931414998,90
Rio Maior,100,Empirical,CLS,LA,,,BPC,17.0,21754.524999999998,1968.0,101.65,3890.4,5.591847881965864,17847.124999999996,8807.7162425,937.7521784230048,33
Rio Maior,100,Empirical,CLS,LA,,,PG-CLNS,17.0,21754.524999999998,1966.0,101.65,3726.2620000000006,5.838163016985922,18011.263,8971.854242499998,2634.6082295750093,33
Rio Maior,100,Empirical,FTSP,LA,,,ACO_HH,17.0,21754.524999999998,1924.0,101.65,4560.963000000001,4.769721876717701,17176.561999999998,8137.153242499999,516.4830425660039,33
Rio Maior,100,Empirical,FTSP,LA,,,BPC,17.0,21754.524999999998,1968.0,101.65,4522.51,4.810276815308312,17215.015,8175.606242499999,1075.0715793459967,33
Rio Maior,100,Empirical,FTSP,LA,,,SWC-TCF,17.0,21754.524999999998,1819.0,101.65,4699.851,4.628769082253884,17037.674,7998.265242500001,1571.4271413700044,33
Rio Maior,100,Empirical,CLS,LM,CF70,,BPC,4.0,21841.924999999996,2326.0,5.7,4924.720999999998,4.43515988012316,16913.203999999998,7824.410622500001,1152.5407992190012,44
Rio Maior,100,Empirical,CLS,LM,CF70,,HGS,4.0,21850.475,1969.0,5.7,4761.713,4.58878454035344,17084.762,7992.409257499998,3105.418664220997,44
Rio Maior,100,Empirical,CLS,LM,CF70,,PG-CLNS,4.0,21850.475,2283.0,5.7,4722.04,4.627337972571176,17124.434999999998,8032.0822575,2898.8491371520067,44
Rio Maior,100,Empirical,CLS,LM,CF90,,BPC,21.0,21743.599999999995,1848.0,112.575,3536.9399999999996,6.147573891555977,18185.659999999996,9154.799320000002,791.7190306569973,30
Rio Maior,100,Empirical,CLS,LM,CF90,,HGS,21.0,21743.599999999995,1616.0,112.575,3434.649,6.330661444590116,18287.950999999994,9257.090320000001,2142.290630693009,30
Rio Maior,100,Empirical,CLS,LM,CF90,,PG-CLNS,21.0,21743.599999999995,1835.0,112.575,3430.67,6.338003946750924,18291.929999999993,9261.06932,1993.743256827991,30
Rio Maior,100,Empirical,FTSP,LM,CF70,,BPC,4.0,21841.924999999996,2326.0,5.7,5765.049999999998,3.78867919619084,16072.874999999996,6984.081622500002,1204.2100183970033,44
Rio Maior,100,Empirical,FTSP,LM,CF90,,BPC,21.0,21743.599999999995,1848.0,112.575,4156.121,5.231705236685841,17566.478999999996,8535.618320000001,842.7371430950006,30
Rio Maior,100,Empirical,CLS,SL,,SL1,ACO_HH,6.0,21835.749999999996,2142.0,20.425,4597.324000000001,4.749665240039638,17232.425999999996,8148.203274999999,339.9526194479986,42
Rio Maior,100,Empirical,CLS,SL,,SL1,BPC,6.0,21827.199999999997,2273.0,20.425,4739.319,4.60555619910793,17081.880999999998,8001.21764,1069.929307739003,42
Rio Maior,100,Empirical,CLS,SL,,SL1,PG-CLNS,6.0,21835.749999999996,2251.0,20.425,4518.648999999998,4.832362504810621,17311.101,8226.878275000001,2644.6656045550044,42
Rio Maior,100,Empirical,CLS,SL,,SL1,SANS,8.0,21827.674999999996,3441.0,28.5,5652.581999999996,3.8615406198441726,16167.093,7088.231897500001,2599.108318201994,43
Rio Maior,100,Empirical,CLS,SL,,SL2,ACO_HH,2.0,22092.249999999996,2812.0,2.375,7190.706000000002,3.072333926599139,14899.543999999994,5704.540324999998,516.5988055909984,70
Rio Maior,100,Empirical,CLS,SL,,SL2,BPC,2.0,22094.624999999996,2904.0,2.375,7073.275,3.123676797523071,15019.349999999997,5823.357612499999,1486.8441838110011,68
Rio Maior,100,Empirical,CLS,SL,,SL2,PG-CLNS,2.0,22098.424999999996,2814.0,2.375,6826.7750000000015,3.2370226058424354,15269.649999999994,6072.075672499999,4188.695109766006,67
Rio Maior,100,Empirical,CLS,SL,,SL2,SANS,2.0,21994.399999999994,4389.0,2.375,8277.120999999996,2.6572524432106293,13715.278999999999,4561.010280000001,4161.038292443001,69
Rio Maior,100,Empirical,FTSP,SL,,SL1,ACO_HH,6.0,21835.749999999996,2172.0,20.425,5523.248,3.9534255930568385,16306.501999999997,7222.279275,405.2907681460056,42
Rio Maior,100,Empirical,FTSP,SL,,SL1,BPC,6.0,21827.199999999997,2273.0,20.425,5526.924999999998,3.949248451896851,16294.274999999998,7213.611639999998,1125.0864605120005,42
Rio Maior,100,Empirical,FTSP,SL,,SL1,PG-CLNS,6.0,21835.749999999996,2239.0,20.425,5601.84,3.8979603130400005,16227.909999999996,7143.687275,2725.537986701005,42
Rio Maior,100,Empirical,FTSP,SL,,SL1,PSOMA,5.0,21816.274999999994,1775.0,19.0,5603.384000000002,3.893410660415204,16207.890999999992,7130.7757175,1183.0276758640102,44
Rio Maior,100,Empirical,FTSP,SL,,SL2,ACO_HH,2.0,22080.374999999996,2823.0,2.375,8514.114,2.5933849370586297,13564.260999999997,4374.2008875,573.918289194,69
Rio Maior,100,Empirical,FTSP,SL,,SL2,BPC,2.0,22094.624999999996,2904.0,2.375,8331.698000000002,2.6518754040292856,13760.926999999994,4564.934612499998,1574.3765095699928,68
Rio Maior,100,Empirical,FTSP,SL,,SL2,PG-CLNS,2.0,22098.424999999996,2800.0,2.375,8283.404,2.667795147985055,13813.020999999995,4615.446672500002,4289.9006630130025,67
Rio Maior,100,Empirical,FTSP,SL,,SL2,PSOMA,2.0,22058.049999999996,2024.0,2.375,8267.561,2.6680238585478833,13788.488999999996,4607.722785,1751.4796054269973,70
Rio Maior,100,Gamma-3,CLS,LA,,,BPC,15.0,58891.800307354104,4332.0,65.60788410615763,6194.043000000001,9.507812636650101,52682.757307354106,28181.100839402592,1327.1453694360098,45
